date,y
2016-02-26,2166632.0
2016-02-27,1289119.0
2016-02-28,872598.0
2016-02-29,2004433.0
2016-03-01,2042656.0
2016-03-02,2069721.0
2016-03-03,2084405.0
2016-03-04,2154316.0
2016-03-05,1275265.0
2016-03-06,869281.0
2016-03-07,1985014.0
2016-03-08,2078215.0
2016-03-09,2057939.0
2016-03-10,2088196.0
2016-03-11,2138363.0
2016-03-12,1277207.0
2016-03-13,902267.0
2016-03-14,1988587.0
2016-03-15,2055621.0
2016-03-16,2068961.0
2016-03-17,2110292.0
2016-03-18,1915082.0
2016-03-19,1031448.0
2016-03-20,829098.0
2016-03-21,1544848.0
2016-03-22,1507179.0
2016-03-23,1427143.0
2016-03-24,790849.0
2016-03-25,764730.0
2016-03-26,853073.0
2016-03-27,745535.0
2016-03-28,1588158.0
2016-03-29,1828556.0
2016-03-30,1983126.0
2016-03-31,2039722.0
2016-04-01,2122968.0
2016-04-02,1220000.0
2016-04-03,838484.0
2016-04-04,2025829.0
2016-04-05,2053419.0
2016-04-06,2072624.0
2016-04-07,2097226.0
2016-04-08,2155337.0
2016-04-09,1262285.0
2016-04-10,896540.0
2016-04-11,2018026.0
2016-04-12,2101285.0
2016-04-13,2090694.0
2016-04-14,2073026.0
2016-04-15,2145323.0
2016-04-16,1159105.0
2016-04-17,924978.0
2016-04-18,1983609.0
2016-04-19,2033779.0
2016-04-20,2100164.0
2016-04-21,2089890.0
2016-04-22,2137949.0
2016-04-23,1257242.0
2016-04-24,1011949.0
2016-04-25,2003069.0
2016-04-26,2035463.0
2016-04-27,2080429.0
2016-04-28,2085076.0
2016-04-29,2053114.0
2016-04-30,1137216.0
2016-05-01,865280.0
2016-05-02,843694.0
2016-05-03,1998421.0
2016-05-04,2111528.0
2016-05-05,2090778.0
2016-05-06,2161235.0
2016-05-07,1231546.0
2016-05-08,842342.0
2016-05-09,2014048.0
2016-05-10,2051636.0
2016-05-11,2086503.0
2016-05-12,2076531.0
2016-05-13,2104313.0
2016-05-14,1235020.0
2016-05-15,1066352.0
2016-05-16,956972.0
2016-05-17,1991236.0
2016-05-18,2040364.0
2016-05-19,2058839.0
2016-05-20,2101779.0
2016-05-21,1108150.0
2016-05-22,830832.0
2016-05-23,1862155.0
2016-05-24,1972464.0
2016-05-25,2014561.0
2016-05-26,2031013.0
2016-05-27,2076769.0
2016-05-28,1216747.0
2016-05-29,916091.0
2016-05-30,1917008.0
2016-05-31,1967721.0
2016-06-01,1994088.0
2016-06-02,2014962.0
2016-06-03,2042323.0
2016-06-04,1190015.0
2016-06-05,962338.0
2016-06-06,1892611.0
2016-06-07,1962060.0
2016-06-08,1991022.0
2016-06-09,2022128.0
2016-06-10,2024328.0
2016-06-11,1152697.0
2016-06-12,865722.0
2016-06-13,1790581.0
2016-06-14,1805780.0
2016-06-15,1849625.0
2016-06-16,1852475.0
2016-06-17,1848130.0
2016-06-18,1094416.0
2016-06-19,826443.0
2016-06-20,1801052.0
2016-06-21,1835860.0
2016-06-22,1845578.0
2016-06-23,1838161.0
2016-06-24,1839190.0
2016-06-25,1038913.0
2016-06-26,805887.0
2016-06-27,1761750.0
2016-06-28,1828014.0
2016-06-29,1888214.0
2016-06-30,1869167.0
2016-07-01,1835531.0
2016-07-02,1164075.0
2016-07-03,799732.0
2016-07-04,1665156.0
2016-07-05,1700341.0
2016-07-06,1712283.0
2016-07-07,1681542.0
2016-07-08,1648883.0
2016-07-09,906530.0
2016-07-10,711074.0
2016-07-11,1601658.0
2016-07-12,1627441.0
2016-07-13,1666878.0
2016-07-14,1648936.0
2016-07-15,1594937.0
2016-07-16,874004.0
2016-07-17,697616.0
2016-07-18,1520194.0
2016-07-19,1540175.0
2016-07-20,1552010.0
2016-07-21,1534159.0
2016-07-22,1476099.0
2016-07-23,802889.0
2016-07-24,639789.0
2016-07-25,680396.0
2016-07-26,1467433.0
2016-07-27,1487229.0
2016-07-28,1488585.0
2016-07-29,1426997.0
2016-07-30,810664.0
2016-07-31,653974.0
2016-08-01,1207237.0
2016-08-02,1238116.0
2016-08-03,1235527.0
2016-08-04,1210180.0
2016-08-05,1189881.0
2016-08-06,722032.0
2016-08-07,597801.0
2016-08-08,1102071.0
2016-08-09,1106325.0
2016-08-10,1141506.0
2016-08-11,1112388.0
2016-08-12,1087071.0
2016-08-13,691900.0
2016-08-14,583511.0
2016-08-15,597073.0
2016-08-16,1067921.0
2016-08-17,1077875.0
2016-08-18,1082814.0
2016-08-19,1073968.0
2016-08-20,683272.0
2016-08-21,583089.0
2016-08-22,1101348.0
2016-08-23,1133570.0
2016-08-24,1160212.0
2016-08-25,1163099.0
2016-08-26,1173460.0
2016-08-27,777379.0
2016-08-28,631756.0
2016-08-29,1237160.0
2016-08-30,1305497.0
2016-08-31,1374325.0
2016-09-01,1534491.0
2016-09-02,1566870.0
2016-09-03,917001.0
2016-09-04,751372.0
2016-09-05,1671094.0
2016-09-06,1726487.0
2016-09-07,1762172.0
2016-09-08,1796629.0
2016-09-09,1814686.0
2016-09-10,1083912.0
2016-09-11,856498.0
2016-09-12,1802318.0
2016-09-13,1852038.0
2016-09-14,1897886.0
2016-09-15,1901916.0
2016-09-16,1927931.0
2016-09-17,1099468.0
2016-09-18,816977.0
2016-09-19,1857033.0
2016-09-20,1905258.0
2016-09-21,1953497.0
2016-09-22,1958484.0
2016-09-23,1997272.0
2016-09-24,1130895.0
2016-09-25,844496.0
2016-09-26,1906459.0
2016-09-27,1968551.0
2016-09-28,2027464.0
2016-09-29,2017543.0
2016-09-30,2088514.0
2016-10-01,2050035.84375
2016-10-02,2011557.6875
2016-10-03,1973079.53125
2016-10-04,1934601.375
2016-10-05,1896123.21875
2016-10-06,1857645.0625
2016-10-07,1819166.90625
2016-10-08,1780688.75
2016-10-09,1742210.59375
2016-10-10,1703732.4375
2016-10-11,1665254.28125
2016-10-12,1626776.125
2016-10-13,1588297.96875
2016-10-14,1549819.8125
2016-10-15,1511341.65625
2016-10-16,1472863.5
2016-10-17,1434385.34375
2016-10-18,1395907.1875
2016-10-19,1357429.03125
2016-10-20,1318950.875
2016-10-21,1280472.71875
2016-10-22,1241994.5625
2016-10-23,1203516.40625
2016-10-24,1165038.25
2016-10-25,1126560.09375
2016-10-26,1088081.9375
2016-10-27,1049603.78125
2016-10-28,1011125.625
2016-10-29,972647.46875
2016-10-30,934169.3125
2016-10-31,895691.15625
2016-11-01,857213.0
2016-11-02,2079544.0
2016-11-03,2105141.0
2016-11-04,2178757.0
2016-11-05,1143045.0
2016-11-06,919209.0
2016-11-07,2044446.0
2016-11-08,2152689.0
2016-11-09,1034465.0
2016-11-10,2114955.0
2016-11-11,2156045.0
2016-11-12,1209202.0
2016-11-13,929394.0
2016-11-14,2073506.0
2016-11-15,2132031.0
2016-11-16,2160843.0
2016-11-17,2176481.0
2016-11-18,2245806.0
2016-11-19,1310574.0
2016-11-20,859572.0
2016-11-21,2096447.0
2016-11-22,2133251.0
2016-11-23,2204299.0
2016-11-24,2198240.0
2016-11-25,2400163.0
2016-11-26,1344218.0
2016-11-27,943972.0
2016-11-28,2097814.0
2016-11-29,2151517.0
2016-11-30,2207381.0
2016-12-01,2204496.0
2016-12-02,2294117.0
2016-12-03,1440885.0
2016-12-04,914458.0
2016-12-05,2117364.0
2016-12-06,1174616.0
2016-12-07,2151753.0
2016-12-08,1214605.0
2016-12-09,1900868.0
2016-12-10,1389900.0
2016-12-11,978970.0
2016-12-12,2109560.0
2016-12-13,2179678.0
2016-12-14,2212635.0
2016-12-15,2231429.0
2016-12-16,2356612.0
2016-12-17,1567597.0
2016-12-18,1119072.0
2016-12-19,2155477.0
2016-12-20,2219324.0
2016-12-21,2265202.0
2016-12-22,2214078.0
2016-12-23,1902736.0
2016-12-24,737763.0
2016-12-25,551314.0
2016-12-26,1018343.0
2016-12-27,1763405.0
2016-12-28,1858372.0
2016-12-29,1920335.0
2016-12-30,1784589.0
2016-12-31,946322.0
2017-01-01,621553.0
2017-01-02,1597351.0
2017-01-03,1751080.0
2017-01-04,1844664.0
2017-01-05,1807169.0
2017-01-06,738167.0
2017-01-07,1191545.0
2017-01-08,882575.0
2017-01-09,1983889.0
2017-01-10,2028669.0
2017-01-11,2067441.0
2017-01-12,2070392.0
2017-01-13,2161850.0
2017-01-14,1286005.0
2017-01-15,868529.0
2017-01-16,2023284.0
2017-01-17,2068435.0
2017-01-18,2135549.0
2017-01-19,2124265.0
2017-01-20,2178277.0
2017-01-21,1326639.0
2017-01-22,907479.0
2017-01-23,2024695.0
2017-01-24,2071268.0
2017-01-25,2103831.0
2017-01-26,2117424.0
2017-01-27,2109544.0
2017-01-28,1284488.0
2017-01-29,892480.0
2017-01-30,2013707.0
2017-01-31,2084693.0
2017-02-01,2143184.0
2017-02-02,2154693.0
2017-02-03,2233543.0
2017-02-04,1274366.0
2017-02-05,907976.0
2017-02-06,2066311.0
2017-02-07,2125625.0
2017-02-08,2165440.0
2017-02-09,2180415.0
2017-02-10,2261102.0
2017-02-11,1277757.0
2017-02-12,882400.0
2017-02-13,2103324.0
2017-02-14,2186883.0
2017-02-15,2223254.0
2017-02-16,2222953.0
2017-02-17,2164554.0
2017-02-18,1334277.0
2017-02-19,967396.0
2017-02-20,2096746.0
2017-02-21,2150336.0
2017-02-22,2171081.0
2017-02-23,2180030.0
2017-02-24,2119557.0
2017-02-25,1391930.0
2017-02-26,1003845.0
2017-02-27,2065367.0
2017-02-28,2161133.0
2017-03-01,2220590.0
2017-03-02,2212574.0
2017-03-03,2224710.0
2017-03-04,1305408.0
2017-03-05,921685.0
2017-03-06,2083501.0
2017-03-07,2136882.0
2017-03-08,2218681.0
2017-03-09,2156180.0
2017-03-10,2240766.0
2017-03-11,1363644.0
2017-03-12,1008470.0
2017-03-13,2081634.0
2017-03-14,2137561.0
2017-03-15,2197646.0
2017-03-16,2256653.0
2017-03-17,2062817.0
2017-03-18,1164085.0
2017-03-19,913334.0
2017-03-20,868171.0
2017-03-21,2110613.0
2017-03-22,2172944.0
2017-03-23,2176697.0
2017-03-24,2219164.0
2017-03-25,1284784.0
2017-03-26,885792.0
2017-03-27,2081063.0
2017-03-28,2143114.0
2017-03-29,2180607.0
2017-03-30,2199496.0
2017-03-31,2281381.0
2017-04-01,1374070.0
2017-04-02,1070209.0
2017-04-03,2120259.0
2017-04-04,2189466.0
2017-04-05,2213873.0
2017-04-06,2257351.0
2017-04-07,2066469.0
2017-04-08,1246018.0
2017-04-09,946647.0
2017-04-10,1635758.0
2017-04-11,1640865.0
2017-04-12,1567273.0
2017-04-13,875519.0
2017-04-14,862663.0
2017-04-15,934833.0
2017-04-16,833561.0
2017-04-17,1689144.0
2017-04-18,2130200.0
2017-04-19,2176147.0
2017-04-20,2201379.0
2017-04-21,2288116.0
2017-04-22,1357920.0
2017-04-23,1175339.0
2017-04-24,2135084.0
2017-04-25,2199835.0
2017-04-26,2217925.0
2017-04-27,2276522.0
2017-04-28,2181776.0
2017-04-29,1133054.0
2017-04-30,919855.0
2017-05-01,883792.0
2017-05-02,937536.0
2017-05-03,2128117.0
2017-05-04,2166961.0
2017-05-05,2240680.0
2017-05-06,1324274.0
2017-05-07,1000790.0
2017-05-08,2114210.0
2017-05-09,2170282.0
2017-05-10,2219407.0
2017-05-11,2208030.0
2017-05-12,2221043.0
2017-05-13,1327654.0
2017-05-14,1101774.0
2017-05-15,1081135.0
2017-05-16,2116046.0
2017-05-17,2172679.0
2017-05-18,2185377.0
2017-05-19,2242043.0
2017-05-20,1307273.0
2017-05-21,952170.0
2017-05-22,2083495.0
2017-05-23,2129896.0
2017-05-24,2170994.0
2017-05-25,2187674.0
2017-05-26,2219735.0
2017-05-27,1303494.0
2017-05-28,954524.0
2017-05-29,2064690.0
2017-05-30,2169446.0
2017-05-31,2162292.0
2017-06-01,2163885.0
2017-06-02,2216045.0
2017-06-03,1348058.0
2017-06-04,1077999.0
2017-06-05,2063665.0
2017-06-06,2137737.0
2017-06-07,2145763.0
2017-06-08,2175376.0
2017-06-09,2179768.0
2017-06-10,1264014.0
2017-06-11,972224.0
2017-06-12,2031891.0
2017-06-13,2079442.0
2017-06-14,2103006.0
2017-06-15,2107238.0
2017-06-16,2104764.0
2017-06-17,1188924.0
2017-06-18,883814.0
2017-06-19,1994425.0
2017-06-20,2038695.0
2017-06-21,2082851.0
2017-06-22,2099533.0
2017-06-23,2046466.0
2017-06-24,1210746.0
2017-06-25,905795.0
2017-06-26,1961779.0
2017-06-27,1997910.0
2017-06-28,2019629.0
2017-06-29,2008314.0
2017-06-30,2020584.0
2017-07-01,1371812.0
2017-07-02,939714.0
2017-07-03,1885400.0
2017-07-04,1902191.0
2017-07-05,1919797.0
2017-07-06,1844256.0
2017-07-07,1807623.0
2017-07-08,1053378.0
2017-07-09,845969.0
2017-07-10,1793666.0
2017-07-11,1824801.0
2017-07-12,1852458.0
2017-07-13,1830260.0
2017-07-14,1784484.0
2017-07-15,999378.0
2017-07-16,816001.0
2017-07-17,1680149.0
2017-07-18,1719014.0
2017-07-19,1740279.0
2017-07-20,1719987.0
2017-07-21,1668376.0
2017-07-22,937834.0
2017-07-23,752571.0
2017-07-24,1587584.0
2017-07-25,1635568.0
2017-07-26,1662704.0
2017-07-27,1701472.0
2017-07-28,1612483.0
2017-07-29,910675.0
2017-07-30,733032.0
2017-07-31,1465275.0
2017-08-01,1415554.0
2017-08-02,1417677.0
2017-08-03,1390901.0
2017-08-04,1356940.0
2017-08-05,820539.0
2017-08-06,669881.0
2017-08-07,1243549.0
2017-08-08,1261258.0
2017-08-09,1280210.0
2017-08-10,1271919.0
2017-08-11,1244024.0
2017-08-12,802148.0
2017-08-13,655051.0
2017-08-14,1082983.0
2017-08-15,716900.0
2017-08-16,1242526.0
2017-08-17,1205360.0
2017-08-18,1173468.0
2017-08-19,763031.0
2017-08-20,640132.0
2017-08-21,1205831.0
2017-08-22,1243808.0
2017-08-23,1277102.0
2017-08-24,1266575.0
2017-08-25,1279533.0
2017-08-26,826837.0
2017-08-27,699118.0
2017-08-28,1295203.0
2017-08-29,1402144.0
2017-08-30,1472916.0
2017-08-31,1521208.0
2017-09-01,1655638.0
2017-09-02,1041685.0
2017-09-03,822394.0
2017-09-04,1783578.0
2017-09-05,1838341.0
2017-09-06,1897743.0
2017-09-07,1933734.0
2017-09-08,1932950.0
2017-09-09,1177445.0
2017-09-10,968878.0
2017-09-11,1962665.0
2017-09-12,1988979.0
2017-09-13,2069221.0
2017-09-14,2054258.0
2017-09-15,2100813.0
2017-09-16,1291685.0
2017-09-17,925575.0
2017-09-18,2014994.0
2017-09-19,2076183.0
2017-09-20,2136850.0
2017-09-21,2121846.0
